序號,篇名,作者
1,守株待兔,《韓非子》
2,孟母戒子,韓嬰
3,江南,佚名
4,七步詩,曹植
5,詠鵝,駱賓王
6,回鄉偶書,賀知章
7,登鸛鵲樓,王之渙
8,春曉,孟浩然
9,九月九日憶山東兄弟,王維
10,靜夜思,李白
11,賦得古原草送別,白居易
12,遊子吟,孟郊
13,憫農（其二）,李紳
14,金縷衣,杜秋娘
15,清明,杜牧
16,蜂,羅隱
17,元日,王安石
18,小池,楊萬里
19,畫雞,唐寅
20,詠雪,鄭燮
