分类,篇名,作者/編者/譯者,出處
2,短歌行,曹操,文選
2,龜雖壽,曹操,樂府詩集
2,送李副使赴磧西官軍,岑參,御定全唐詩
2,白雪歌送武判官歸京,岑參,御定全唐詩錄
2,茅屋為秋風所破歌,杜甫,杜詩詳註
2,旅夜書懷,杜甫,杜詩詳註
2,宿江邊閣,杜甫,杜詩詳註
2,登高,杜甫,杜詩詳註
2,閣夜,杜甫,杜詩詳註
2,登樓,杜甫,集千家註杜工部詩集
2,己亥雜詩（其一百二十五）（九州生氣恃風雷）,龔自珍,龔定盦全集
2,四塊玉·閒適（南畝耕）,關漢卿,可參考、使用任何版本
2,登快閣,黃庭堅,山谷外集
2,揚州慢（淮左名都）,姜夔,白石道人歌曲
2,暗香（舊時月色）,姜夔,白石道人歌曲
2,月下獨酌,李白,李太白文集
2,把酒問月,李白,李太白文集
2,宣州謝朓樓餞別校書叔雲,李白,李太白文集
2,將進酒,李白,李太白文集
2,夢遊天姥吟留別,李白,李太白文集
2,一剪梅（紅藕香殘玉簟秋）,李清照,漱玉詞
2,聲聲慢·秋情（尋尋覓覓）,李清照,漱玉詞
2,無題（相見時難別亦難）,李商隱,李義山詩集
2,錦瑟,李商隱,李義山詩集
2,相見歡（林花謝了春紅）,李煜,詞綜
2,破陣子（四十年來家國）,李煜,花草稡編
2,雨霖鈴（寒蟬淒切）,柳永,宋詞三百首箋注
2,卜算子·詠梅（驛外斷橋邊）,陸游,放翁詞
2,訴衷情（當年萬里覓封侯）,陸游,放翁詞
2,關山月,陸游,劍南詩槀
2,水仙子（一作《湘妃怨》）（春風驕馬五陵兒）,馬致遠,樂府新編陽春白雪
2,臨洞庭,孟浩然,孟浩然集
2,蝶戀花（庭院深深深幾許）,歐陽修,六一詞
2,九歌‧山鬼,屈原,楚辭補注
2,國殤,屈原,楚辭章句
2,水龍吟（似花還似非花）,蘇軾,東坡詞
2,江城子·獵詞（老夫聊發少年狂）,蘇軾,東坡詞
2,江城子（十年生死兩茫茫）,蘇軾,東坡詞
2,定風波（莫聽穿林打葉聲）,蘇軾,東坡詞
2,念奴嬌·赤壁懷古（大江東去）,蘇軾,東坡詞
2,和子由澠池懷舊,蘇軾,東坡全集
2,詠荊軻,陶淵明,陶淵明集
2,飲酒（其五）（結廬在人境）,陶淵明,陶淵明集
2,明妃曲（兩首）,王安石,王荊公詩注
2,山居秋暝,王維,王右丞集箋注
2,鳥鳴澗,王維,王右丞集箋注
2,漢江臨汎,王維,王右丞集箋注
2,正氣歌（並序）,文天祥,文山集
2,木蘭花（可憐今夕月）,辛棄疾,稼軒長短句
2,青玉案·元夕（東風夜放花千樹）,辛棄疾,稼軒詞
2,南鄉子·登京口北固亭有懷（何處望神州）,辛棄疾,稼軒詞
2,賀新郎（甚矣吾衰矣）,辛棄疾,稼軒詞
2,醜奴兒（少年不識愁滋味）,辛棄疾,稼軒詞
2,永遇樂（千古江山）,辛棄疾,御選歷代詩餘
2,浣溪沙（一曲新詞酒一杯）,晏殊,珠玉詞
2,陌上桑,佚名,樂府詩集
2,戰城南,佚名,樂府詩集
2,邁陂塘（問世間）,元好問,詞綜
2,驟雨打新荷（綠葉陰濃）（一作《小聖樂》）,元好問,御選歷代詩餘
2,念奴嬌·洞庭（洞庭青草）,張孝祥,于湖詞
2,瑣窗寒（暗柳啼鴉）,周邦彥,片玉詞
2,西河·金陵懷古（佳麗地）,周邦彥,御選歷代詩餘
2,望薊門,祖詠,御定全唐詩
2,黍離, ,毛詩注疏
2,碩鼠, ,毛詩注疏
2,關雎, ,毛詩注疏
