分类,篇名,作者/編者/譯者,出處
1,狂泉<br>（節錄《宋書‧袁燦傳妙德先生傳》，由「昔有一國」起至「眾乃歡然」止）,沈約,宋書
1,周亞夫軍細柳<br>（節錄《史記‧絳侯周勃世家》，由「文帝之後六年」起至「乃拜亞夫為中尉」止）,司馬遷,史記
1,張良與黃石老人<br>（節錄《史記‧留侯世家》，由「良嘗從容步游下邳圯上」起至「常習誦讀之」止）,司馬遷,史記
1,陳涉世家<br>（節錄《史記‧陳涉世家》，由「陳涉少時」起至「燕雀安知鴻鵠之志哉」止）,司馬遷,史記
1,送東陽馬生序<br>（節錄，由「余幼時即嗜學」起至「余故道為學之難以告之」止）,宋濂,宋學士全集
1,惠崇春江晚景,蘇軾,蘇文忠公全集
1,飲湖上初晴後雨,蘇軾,蘇文忠公全集
1,題西林壁,蘇軾,蘇文忠公全集
1,記承天寺夜遊,蘇軾,志林
1,五柳先生傳,陶潛,陶淵明集
1,桃花源記,陶潛,陶淵明集
1,傷仲永,王安石,臨川集
1,教條示龍場諸生,王陽明,王陽明全集
1,貓捕雀,薛福成,庸盦全集
1,大同與小康<br>（節錄《禮記‧禮運》，由「昔者仲尼與於蜡賓」起至「是謂『小康』」止）,佚名,禮記
1,論學,佚名,論語
1,學而篇,佚名,論語譯注
1,勤學篇<br>（節錄《三字經》，由「養不教」起至「不如物」止）,佚名,三字經
1,夸父逐日<br>（節錄《山海經‧海外北經》，由「夸父與日逐走」起至「化為鄧林」止）,佚名,山海經
1,畫龍點睛<br>（節錄《神異記》，由「張僧繇嘗於金陵安樂寺」起至「未點者如故」止）,佚名,神異記
1,晏子僕御<br>（節錄《晏子春秋》，由「晏子為齊相」起至「晏子薦以為大夫」止）,佚名,晏子春秋
1,黃生借書說,袁枚,小倉山房文集
1,湖心亭看雪,張岱,陶庵夢憶
1,愛蓮說,周敦頤,周濂溪集
1,朱子家訓<br>（節錄，由「黎明即起」起至「園蔬愈珍饈」止）,朱柏廬,治家格言
1,訓學齋規<br>（節錄，由「凡讀書，須整頓几案」起至「眼口豈不到乎」止）,朱熹,朱子全集
1,淡泊明志並悲守窮廬（出自《誡子書》）,諸葛亮,諸葛亮集
1,效顰<br>（節錄《莊子‧天運》，由「西施病心而顰其里」起至「而不知顰之所以美」止）,莊子,莊子
1,臧與穀牧羊<br>（節錄《莊子‧駢拇篇》，由「臧與穀」起至「其亡羊均也」止）,莊子,莊子
1,召公諫厲王監謗<br>（節錄《國語‧周語上》，由「厲王虐。國人謗王」起至「三年，乃流王於彘」止）,左丘明,國語
1,燭之武退秦師<br>（節錄《左傳》，由「晉侯秦伯圍鄭」起至「亦去之」止）,左丘明,左傳
1,越縵堂日記,李慈銘,越縵堂日記
1,大鐵椎傳,魏禧,虞初新志
2,買花,白居易,白居易集
2,慈烏夜啼,白居易,白居易集
2,暮江吟,白居易,白居易集
2,賦得古原草送別,白居易,白居易集
2,憶江南（江南好）,白居易,白居易集
2,燕詩,白居易,白居易集
2,錢塘湖春行,白居易,白居易集
2,天淨沙·春,白樸,摭遺
2,天淨沙·秋,白樸,摭遺
2,怨歌行,班婕妤,中國詩歌寶庫：漢魏詩選
2,七步詩,曹植,曹子建集
2,磧中作,岑參,岑嘉州集
2,飲馬長城窟行,陳琳,中國詩歌寶庫：漢魏詩選
2,黃鶴樓,崔顥,崔顥集
2,八陣圖,杜甫,杜工部集
2,月夜,杜甫,杜工部集
2,月夜憶舍弟,杜甫,杜工部集
2,石壕吏,杜甫,杜工部集
2,江南逢李龜年,杜甫,杜工部集
2,江畔獨步尋花,杜甫,杜工部集
2,客至,杜甫,杜工部集
2,春夜喜雨,杜甫,杜工部集
2,春望,杜甫,杜工部集
2,絕句（兩個黃鸝鳴翠柳）,杜甫,杜工部集
2,蜀相,杜甫,杜工部集
2,聞官軍收河南河北,杜甫,杜工部集
2,兵車行,杜甫,杜詩詳註
2,泊秦淮,杜牧,樊川詩集注
2,山行,杜牧,樊川文集
2,江南春,杜牧,樊川文集
2,秋夕,杜牧,樊川文集
2,蘇幕遮（碧雲天）,范仲淹,宋詞三百首箋注
2,謁金門（風乍起）,馮延巳,中國古代詩詞名篇
2,己亥雜詩（其五）,龔自珍,龔定盦全集
2,四塊玉·閒適（舊酒投）,關漢卿,關漢卿戲曲集
2,回鄉偶書,賀知章,全唐詩
2,寄黃幾復,黃庭堅,宋詩選
2,雜感,黃仲則,中國古代詩詞名篇
2,尋隱者不遇,賈島,長江集
2,虞美人·聽雨,蔣捷,竹山詞
2,下終南山過斛斯山人宿置酒,李白,李太白全集
2,早發白帝城,李白,李太白全集
