序號,篇名,作者
1,論語四則,《論語》
2,二子學弈,《孟子》
3,鄭人買履,《韓非子》
4,鷸蚌相爭,《戰國策》
5,折箭,魏收
6,涼州詞,王翰
7,出塞,王昌齡
8,送元二使安西,王維
9,早發白帝城,李白
10,客至,杜甫
11,絕句（兩個黃鸝鳴翠柳）,杜甫
12,楓橋夜泊,張繼
13,江雪,柳宗元
14,山行,杜牧
15,泊船瓜洲,王安石
16,題西林壁,蘇軾
17,曉出淨慈寺送林子方,楊萬里
18,石灰吟,于謙
19,明日歌,錢福
20,朱子家訓（節錄）,朱柏廬
 
