篇章,首句,作者
**文言文**, , 
大学之道, ,《礼记》
烛之武退秦师, ,《左传》
人皆有不忍人之心, ,《孟子》
寡人之于国也, ,《孟子》
齐桓晋文之事, ,《孟子》
庖丁解牛, ,《庄子》
五石之瓠, ,《庄子》
秋水（节选）, ,《庄子》
兼爱, ,《墨子》
非攻（节选）, ,《墨子》
渔父, ,《楚辞》
风赋, ,宋玉
苏武传, ,班固
苏武传, ,班固
鸿门宴, ,司马迁
廉颇蔺相如列传（节选）, ,司马迁
报任安书（节选）, ,司马迁
归去来兮辞（并序）, ,陶渊明
滕王阁序（并诗）, ,王勃
黄州新建小竹楼记, ,王禹偁
秋声赋, ,欧阳修
与高司谏书, ,欧阳修
指南录后序, ,文天祥
项脊轩至, ,归有光
五人墓碑记, ,张溥
原君, ,黄宗羲
促织, ,蒲松龄
 , , 
**古诗词**, , 
芣苢,采采芣苢,《诗经·周南》
无衣,岂曰无衣,《诗经·秦风》
氓,氓之蚩蚩,《诗经·卫风》
伐檀,坎坎伐檀兮,《诗经·魏风》
鹿鸣,呦呦鹿鸣,《诗经·小雅》
孔雀东南飞（并序）, ,汉乐府
步出夏门行（其四，龟虽寿）,神龟虽寿,曹操
短歌行（其一）,对酒当歌,曹操
白马篇,白马饰金羁,曹植
蝶恋花,槛菊愁烟兰泣露,晏殊
雨霖铃,寒蝉凄切,柳永
八声甘州,对潇潇暮雨洒江天,柳永
明妃曲二首（其一）,明妃初出汉宫时,王安石
和子由渑池怀旧,人生到处知何似,苏轼
六州歌头,少年侠气,贺铸
声声慢,寻寻觅觅,李清照
插秧歌,插秧歌,杨万里
【双调】大德歌·春,子规啼，不如归,关汉卿
【中吕】十二月过尧民歌·别情,自别后遥山隐隐,王实甫
【双调】夜行船·秋思,百岁光阴如梦蝶,马致远
【正宫】醉太平·刺世,人皆嫌命窘,张可久
游园（【皂罗袍】）,原来姹紫嫣红开遍,汤显祖
登金陵雨花台望大江,大江来从万山中,高启
论诗（其二）,李杜诗篇万口传,赵翼
